,timestamp,predicted_label
853,1536666125092,Liegen
854,1536666135092,Liegen
855,1536666145092,Liegen
856,1536666155092,Liegen
857,1536666165092,Liegen
858,1536666175092,Liegen
859,1536666185092,Liegen
860,1536666195092,Liegen
861,1536666205092,Liegen
862,1536666215092,Liegen
863,1536666225092,Liegen
864,1536666235092,Liegen
865,1536666245092,Liegen
866,1536666255092,Liegen
867,1536666265092,Liegen
868,1536666275092,Liegen
869,1536666285092,Liegen
870,1536666295092,Liegen
871,1536666305092,Liegen
872,1536666315092,Liegen
873,1536666325092,Liegen
874,1536666335092,Liegen
875,1536666345092,Liegen
876,1536666355092,Liegen
877,1536666365092,Liegen
878,1536666375092,Liegen
879,1536666385092,Liegen
880,1536666395092,Liegen
881,1536666405092,Liegen
882,1536666415092,Liegen
883,1536666425092,Liegen
884,1536666435092,Liegen
885,1536666445092,Liegen
886,1536666455092,Liegen
887,1536666465092,Liegen
888,1536666475092,Liegen
889,1536666485092,Non-Liegen
890,1536666495092,Non-Liegen
891,1536666505092,Non-Liegen
892,1536666515092,Non-Liegen
893,1536666525092,Liegen
894,1536666535092,Liegen
895,1536666545092,Liegen
896,1536666555092,Liegen
897,1536666565092,Liegen
898,1536666575092,Liegen
899,1536666585092,Liegen
900,1536666595092,Liegen
901,1536666605092,Liegen
902,1536666615092,Liegen
903,1536666625092,Liegen
904,1536666635092,Liegen
905,1536666645092,Liegen
906,1536666655092,Liegen
907,1536666665092,Liegen
908,1536666675092,Liegen
909,1536666685092,Liegen
